N,종목명,현재가,전일비,등락률,액면가,시가총액,상장주식수,외국인비율,거래량,PER,ROE
186,솔루스첨단소재,"34,600",700,+2.06%,100,"12,148","35,111",5.26,"139,124",155.16,4.00,
187,대덕전자,"24,300","1,350",-5.26%,500,"12,008","49,417",19.64,"962,981",9.44,9.55,
188,효성티앤씨,"275,000","1,000",-0.36%,"5,000","11,901","4,328",9.59,"14,463",2.43,76.22,
189,대웅,"20,150",50,+0.25%,500,"11,716","58,142",4.48,"20,309",10.39,11.13,
190,일진하이솔루스,"32,200","1,100",+3.54%,500,"11,693","36,313",1.39,"100,256",130.89,4.97,
191,삼천리,"288,000","3,500",+1.23%,"5,000","11,678","4,055",13.59,"24,045",15.55,4.52,
192,한국앤컴퍼니,"12,200",150,+1.24%,500,"11,582","94,935",9.11,"135,807",5.12,5.53,
193,후성,"12,450",0,0.00%,500,"11,530","92,607",7.47,"731,437",15.47,9.61,
194,한미반도체,"11,550",100,-0.86%,100,"11,425","98,920",4.86,"159,510",10.12,34.59,
195,DGB금융지주,"6,730",20,+0.30%,"5,000","11,384","169,146",44.47,"393,145",2.23,9.63,
196,KODEX 종합채권(AA-이상)액티브,"97,995",65,-0.07%,0,"11,383","11,616",0.01,"2,478",N/A,N/A,
197,동국제강,"11,800",50,+0.43%,"5,000","11,261","95,433",23.31,"271,761",1.42,23.41,
198,TIGER MSCI Korea TR,"12,660",75,+0.60%,0,"11,153","88,100",0.01,29,N/A,N/A,
199,SK가스,"120,000","3,000",+2.56%,"5,000","11,076","9,230",4.92,"10,432",4.72,12.41,
200,신풍제약,"20,650",150,-0.72%,500,"10,941","52,985",5.88,"140,397",-48.82,-3.19,
